tweet_id,Tweet,image_link,label (1~5),label (0/1/2)
32,"Scholarship for LAW STUDENTS in the USA The following scholarships are available for outstanding law graduates who wish to obtain LL.M at UC Berkley, USA. There are options for LL.M Thesis Track and LL.M Executive Track. Tag qualified candidates The link in the comment",https://pbs.twimg.com/media/FgaeqKWXgAM6zQh?format=png&name=small ,3,1
33,Good Morning Have a powerful Monday,https://pbs.twimg.com/media/Fg8GAKOWIAEQZRt?format=jpg&name=large ,4,2
34,"A study of Ekrixinatosaurus novasi, to break from current commission work and because abelisaurs are awesome and underrepresented",https://pbs.twimg.com/media/Fg9-ZYKWYAAuyhJ?format=jpg&name=900x900 ,4,2
35,"The sad thing is, nobody ever really knows how much anyone else is hurting. We could be standing next to somebody who is completely broken and we wouldn't even know it. Only Allāh knows! May Allāh make easy for people who going through hard times and problem ",,3,1
36,i am so sad rn,https://pbs.twimg.com/media/Fg7-kweVEAMPflq?format=jpg&name=large ,4,2
37,I would have caught you... I feel so depressed.,https://pbs.twimg.com/media/FgkbCCTXoAY6TMV?format=png&name=small ,2,0
38,Don't be sad.,https://pbs.twimg.com/media/Fg8H6cFUYAIQhv8?format=png&name=small ,2,0
39,Me already depressed at work and seeing her running thru the building with the gun,https://pbs.twimg.com/media/FgvR9hWXgAES4fj?format=jpg&name=small ,2,0
40,It’s sad but true,https://pbs.twimg.com/media/Fg9vKmyVsAIBfxl?format=jpg&name=medium ,3.5,1
41,"""What? Over? Did you say over? Nothing is over until we decide it is! Was it over when the Germans bombed Pearl Harbor? Hell, no!""",https://pbs.twimg.com/media/Fg9-PfrWIAADj7V?format=jpg&name=medium ,3,1
42,Another morning to speak my thruth on this app and trigger a lot of ppl,,2.5,1
43,Off white pants/skirts is something every girl should have in their wardrobe as they literally go with everything. ,,4,2
44,I’m sorry but that monologue given by Stellan Skarsgard in #Andor episode 10 was just absolutely astounding. THAT should be shown in acting classes from here on out and my goodness is this show SO DAMN GOOD!,,4.5,2
45,I couldn’t risk being latefor work today to go hunt. I’m glad I didn’t take that chance. The fog is terrible here…,,3,1
46,When you get home from work late at night but you got this waiting for you,,2.5,1
